Frequency,Port1,Port2,
4999500000,2.153534297e-06,0.0002102516883,
4999501000,2.342363587e-06,0.0002369037975,
4999502000,1.245746262e-06,0.0001679893612,
4999503000,1.049505499e-06,0.0003058116417,
4999504000,1.641168296e-06,0.000243058108,
4999505000,1.619538011e-06,0.0001527989953,
4999506000,1.491658622e-06,0.0002259712492,
4999507000,2.015177415e-06,0.0002686632215,
4999508000,1.720785804e-06,0.0002273762075,
4999509000,1.48370043e-06,0.0001978990913,
4999510000,2.083226491e-06,0.0002217761066,
4999511000,1.117617785e-06,0.0002591915545,
4999512000,1.373498662e-06,0.0001974759361,
4999513000,1.682379434e-06,0.0002123090817,
4999514000,1.354453161e-06,0.0002241079346,
4999515000,1.828269319e-06,0.0001245884341,
4999516000,1.336191417e-06,0.0002538426488,
4999517000,1.219352839e-06,0.0001947682031,
4999518000,1.743238954e-06,0.0002048895258,
4999519000,1.197050665e-06,0.0001943199604,
4999520000,2.830842504e-06,0.0002388082648,
4999521000,2.043674613e-06,0.0001451615972,
4999522000,1.635220542e-06,0.0001883182413,
4999523000,1.80042548e-06,0.0002079135593,
4999524000,2.274143299e-06,0.0002675234573,
4999525000,1.195246568e-06,0.0002022530389,
4999526000,9.971289501e-07,0.0002100037964,
4999527000,1.643152245e-06,0.0001610220352,
4999528000,1.769834512e-06,0.0001623043499,
4999529000,1.283708684e-06,0.0001266005129,
4999530000,1.171827762e-06,0.0001424880174,
4999531000,1.527346171e-06,0.0003057191789,
4999532000,2.389699148e-06,0.0003251554444,
4999533000,1.577754688e-06,0.0002365657274,
4999534000,1.616402642e-06,0.0001991783065,
4999535000,1.697667244e-06,0.0001479886705,
4999536000,1.747794727e-06,0.000239380679,
4999537000,1.766854098e-06,0.000236436128,
4999538000,1.141985649e-06,0.0001570221648,
4999539000,1.3400022e-06,0.0001921147632,
4999540000,1.206143224e-06,0.0002079021651,
4999541000,1.120662546e-06,0.0001560682431,
4999542000,1.775825467e-06,0.0002558350097,
4999543000,2.046079544e-06,0.0002533704101,
4999544000,1.728280267e-06,0.0001760921004,
